Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Geron Christian,T,Louisville,ACC,6-5,298,21,5.33,27.5,22,19,7.79,4.82,N/A,N/A
Derrick Nnadi,DT,Florida State,ACC,6-1,317,22,5.38,27,25,96,8.15,5.02,N/A,N/A
Mason Rudolph,QB,Oklahoma State,BIG 12,6-5,235,23,4.9,26,N/A,108,7.24,4.47,52,0.58
Sam Hubbard,DE,Ohio State,Big 10,6-5,270,23,4.82,35,25,116,6.84,4.32,N/A,N/A
Malik Jefferson,OLB,Texas,BIG 12,6-3,236,21,4.52,36,27,125,6.89,4.22,N/A,N/A
Rasheem Green,DT,USC,PAC 12,6-5,275,21,4.73,32.5,18,118,7.24,4.39,N/A,N/A
Martinas Rankin,T,Mississippi State,SEC,6-4,308,23,5.24,27,24,99,7.82,4.78,N/A,N/A
Michael Gallup,WR,Colorado State,Mountain West,6-1,205,22,4.51,36,10,122,6.95,4.37,N/A,N/A
Tracy Walker,S,Louisiana,Sun Belt,6-1,206,23,4.6,34.5,14,122,6.97,4.22,N/A,N/A
Orlando Brown Jr.,T,Oklahoma,BIG 12,6-8,345,22,5.85,19.5,14,82,7.87,5.38,N/A,N/A
Justin Jones,DT,NC State,ACC,6-4,311,22,4.99,26.5,35,101,7.28,4.53,N/A,N/A
